"";"date";"season";"year";"month";"day_of_week";"weekend";"holiday";"temp_actual";"temp_feel";"humidity";"windspeed";"weather_cat";"rides"
"1";2011-01-01;"winter";2011;"Jan";"Sat";TRUE;"no";14,110847;18,18125;80,5833;10,749882;"categ2";654
"2";2011-01-03;"winter";2011;"Jan";"Mon";FALSE;"no";8,050924;9,47025;43,7273;16,636703;"categ1";1229
"3";2011-01-04;"winter";2011;"Jan";"Tue";FALSE;"no";8,2;10,6061;59,0435;10,739832;"categ1";1454
"4";2011-01-05;"winter";2011;"Jan";"Wed";FALSE;"no";9,305237;11,4635;43,6957;12,5223;"categ1";1518
"5";2011-01-07;"winter";2011;"Jan";"Fri";FALSE;"no";8,057402;10,44195;49,8696;11,304642;"categ2";1362
"6";2011-01-08;"winter";2011;"Jan";"Sat";TRUE;"no";6,765;8,1127;53,5833;17,875868;"categ2";891
"7";2011-01-10;"winter";2011;"Jan";"Mon";FALSE;"no";6,184153;7,5444;48,2917;14,958889;"categ1";1280
"8";2011-01-11;"winter";2011;"Jan";"Tue";FALSE;"no";6,932731;9,5732;68,6364;8,182844;"categ2";1220
"9";2011-01-12;"winter";2011;"Jan";"Wed";FALSE;"no";7,081807;8,02365;59,9545;20,410009;"categ1";1137
"10";2011-01-13;"winter";2011;"Jan";"Thu";FALSE;"no";6,765;7,54415;47,0417;20,167;"categ1";1368
"11";2011-01-14;"winter";2011;"Jan";"Fri";FALSE;"no";6,59567;9,42065;53,7826;8,478716;"categ1";1367
"12";2011-01-15;"winter";2011;"Jan";"Sat";TRUE;"no";9,566653;12,4056;49,875;10,583521;"categ2";1026
"13";2011-01-16;"winter";2011;"Jan";"Sun";TRUE;"no";9,498347;11,71085;48,375;12,625011;"categ1";953
"14";2011-01-17;"winter";2011;"Jan";"Mon";FALSE;"yes";7,209153;8,83855;53,75;12,999139;"categ2";883
"15";2011-01-18;"winter";2011;"Jan";"Tue";FALSE;"no";8,883347;11,61665;86,1667;9,833925;"categ2";674
"16";2011-01-19;"winter";2011;"Jan";"Wed";FALSE;"no";11,979134;14,9211;74,1739;13,957239;"categ2";1572
"17";2011-01-20;"winter";2011;"Jan";"Thu";FALSE;"no";10,728347;12,7525;53,8333;13,125568;"categ2";1844
"18";2011-01-21;"winter";2011;"Jan";"Fri";FALSE;"no";7,2775;7,89165;45,7083;23,667214;"categ1";1468
"19";2011-01-25;"winter";2011;"Jan";"Tue";FALSE;"no";9,162598;11,7263;61,6957;8,696332;"categ2";1799
"20";2011-01-26;"winter";2011;"Jan";"Wed";FALSE;"no";8,9175;10,18;86,25;19,68795;"categ3";472
"21";2011-01-27;"winter";2011;"Jan";"Thu";FALSE;"no";7,995;10,985;68,75;7,627079;"categ1";416
"22";2011-01-29;"winter";2011;"Jan";"Sat";TRUE;"no";8,057402;10,6063;65,1739;9,739455;"categ1";975
"23";2011-01-30;"winter";2011;"Jan";"Sun";TRUE;"no";8,877402;12,5161;72,2174;4,9568342;"categ1";956
"24";2011-01-31;"winter";2011;"Jan";"Mon";FALSE;"no";7,414153;9,3125;60,375;12,541864;"categ2";1459
"25";2011-02-01;"winter";2011;"Feb";"Tue";FALSE;"no";7,879134;11,7265;82,9565;3,565271;"categ2";1313
"26";2011-02-02;"winter";2011;"Feb";"Wed";FALSE;"no";10,66;12,72085;77,5417;17,708636;"categ2";1454
"27";2011-02-03;"winter";2011;"Feb";"Thu";FALSE;"no";7,665237;8,8939;43,7826;18,609384;"categ1";1489
"28";2011-02-05;"winter";2011;"Feb";"Sat";TRUE;"no";9,566653;12,1529;92,9167;10,792293;"categ2";905
"29";2011-02-06;"winter";2011;"Feb";"Sun";TRUE;"no";11,719153;14,58355;56,8333;9,5006;"categ1";1269
"30";2011-02-07;"winter";2011;"Feb";"Mon";FALSE;"no";11,138347;15,1829;73,8333;3,0423561;"categ1";1592
"31";2011-02-08;"winter";2011;"Feb";"Tue";FALSE;"no";9,054153;9,9123;53,7917;24,25065;"categ1";1466
"32";2011-02-10;"winter";2011;"Feb";"Thu";FALSE;"no";5,918268;7,4774;43,7391;14,869645;"categ1";1491
"33";2011-02-11;"winter";2011;"Feb";"Fri";FALSE;"no";7,752731;10,67545;50,6364;7,27285;"categ1";1597
"34";2011-02-12;"winter";2011;"Feb";"Sat";TRUE;"no";9,1225;11,6477;54,4167;13,625589;"categ1";1184
"35";2011-02-13;"winter";2011;"Feb";"Sun";TRUE;"no";12,977402;16,20565;45,7391;17,479161;"categ1";1192
"36";2011-02-14;"winter";2011;"Feb";"Mon";FALSE;"no";17,015;19,9175;37,5833;27,999836;"categ1";1705
"37";2011-02-15;"winter";2011;"Feb";"Tue";FALSE;"no";10,909567;12,7137;31,4348;19,522058;"categ1";1675
"38";2011-02-16;"winter";2011;"Feb";"Wed";FALSE;"no";13,048701;15,81;42,3478;16,869997;"categ1";1897
"39";2011-02-17;"winter";2011;"Feb";"Thu";FALSE;"no";17,869153;21,4329;50,5;15,416968;"categ1";2216
"40";2011-02-18;"winter";2011;"Feb";"Fri";FALSE;"no";21,388347;25,59915;51,6667;17,749975;"categ1";2348
"41";2011-02-19;"winter";2011;"Feb";"Sat";TRUE;"no";16,365847;19,5702;18,7917;34,000021;"categ1";1103
"42";2011-02-20;"winter";2011;"Feb";"Sun";TRUE;"no";11,693897;13,8665;40,7826;14,956745;"categ1";1173
"43";2011-02-21;"winter";2011;"Feb";"Mon";FALSE;"yes";12,436653;14,20375;60,5;20,625682;"categ2";912
"44";2011-02-22;"winter";2011;"Feb";"Tue";FALSE;"no";7,471102;9,30165;57,7778;13,110761;"categ1";1376
"45";2011-02-23;"winter";2011;"Feb";"Wed";FALSE;"no";9,091299;12,28585;42,3043;6,305571;"categ1";1778
"46";2011-02-24;"winter";2011;"Feb";"Thu";FALSE;"no";12,121732;14,45955;69,7391;16,783232;"categ2";1707
"47";2011-02-25;"winter";2011;"Feb";"Fri";FALSE;"no";14,938268;17,52305;71,2174;23,218113;"categ2";1341
"48";2011-02-26;"winter";2011;"Feb";"Sat";TRUE;"no";11,5825;14,1096;53,7917;12,500257;"categ1";1545
"49";2011-02-27;"winter";2011;"Feb";"Sun";TRUE;"no";14,082598;17,55545;68;8,391616;"categ1";1708
"50";2011-03-01;"winter";2011;"Mar";"Tue";FALSE;"no";10,933347;13,19395;53,5;14,500475;"categ1";1714
"51";2011-03-03;"winter";2011;"Mar";"Thu";FALSE;"no";8,131653;10,00665;31,8333;15,125518;"categ1";1562
"52";2011-03-04;"winter";2011;"Mar";"Fri";FALSE;"no";10,728347;12,78395;61,0417;13,624182;"categ2";1730
"53";2011-03-05;"winter";2011;"Mar";"Sat";TRUE;"no";15,750847;18,93895;78,9167;16,875357;"categ2";1437
"54";2011-03-07;"winter";2011;"Mar";"Mon";FALSE;"no";10,731299;11,92305;55,1304;22,870584;"categ1";1628
"55";2011-03-08;"winter";2011;"Mar";"Tue";FALSE;"no";11,9925;15,12;42,0833;8,08355;"categ1";1817
"56";2011-03-09;"winter";2011;"Mar";"Wed";FALSE;"no";12,129153;14,3304;77,5417;14,75005;"categ2";1700
"57";2011-03-10;"winter";2011;"Mar";"Thu";FALSE;"no";15,952731;19,2834;0;17,545759;"categ3";577
"58";2011-03-11;"winter";2011;"Mar";"Fri";FALSE;"no";12,977402;15,25;64,9565;15,60899;"categ2";1730
"59";2011-03-12;"winter";2011;"Mar";"Sat";TRUE;"no";13,495847;16,2875;59,4583;14,791925;"categ1";1408
"60";2011-03-13;"winter";2011;"Mar";"Sun";TRUE;"no";15,758268;19,00455;52,7391;18,130468;"categ1";1435
"61";2011-03-14;"winter";2011;"Mar";"Mon";FALSE;"no";13,333897;16,6;49,6957;9,174042;"categ1";1687
"62";2011-03-15;"winter";2011;"Mar";"Tue";FALSE;"no";13,013031;15,9089;65,5652;12,348703;"categ2";1767
"63";2011-03-16;"winter";2011;"Mar";"Wed";FALSE;"no";14,973897;18,3465;77,6522;13,608839;"categ2";1871
"64";2011-03-17;"winter";2011;"Mar";"Thu";FALSE;"no";17,015;20,51665;60,2917;14,041793;"categ1";2320
"65";2011-03-18;"winter";2011;"Mar";"Fri";FALSE;"no";22,14;26,35045;52,5217;15,478139;"categ1";2355
"66";2011-03-19;"winter";2011;"Mar";"Sat";TRUE;"no";19,3725;23,32625;37,9167;24,667189;"categ1";1693
"67";2011-03-20;"winter";2011;"Mar";"Sun";TRUE;"no";13,6325;16,2875;47,375;13,917307;"categ1";1424
"68";2011-03-21;"spring";2011;"Mar";"Mon";FALSE;"no";17,647835;20,48675;73,7391;19,348461;"categ2";1676
"69";2011-03-23;"spring";2011;"Mar";"Wed";FALSE;"no";14,225237;16,89695;83,9565;15,695487;"categ2";1918
"70";2011-03-24;"spring";2011;"Mar";"Thu";FALSE;"no";11,685;13,54165;80,5833;16,333729;"categ2";1699
"71";2011-03-26;"spring";2011;"Mar";"Sat";TRUE;"no";10,899153;12,87855;39,4167;14,041257;"categ1";1515
"72";2011-03-27;"spring";2011;"Mar";"Sun";TRUE;"no";10,374763;12,51695;49,3913;12,3481;"categ2";1221
"73";2011-03-28;"spring";2011;"Mar";"Mon";FALSE;"no";10,838268;12,8787;30,2174;14,217668;"categ1";1806
"74";2011-03-29;"spring";2011;"Mar";"Tue";FALSE;"no";12,4025;14,6454;31,4167;15,208732;"categ1";2108
"75";2011-03-30;"spring";2011;"Mar";"Wed";FALSE;"no";12,3;14,8675;64,6667;11,583496;"categ2";1368
"76";2011-03-31;"spring";2011;"Mar";"Thu";FALSE;"no";11,001653;12,87875;91,8333;14,582282;"categ3";1506
"77";2011-04-01;"spring";2011;"Apr";"Fri";FALSE;"no";12,3;14,1727;68,625;17,333436;"categ2";1920
"78";2011-04-02;"spring";2011;"Apr";"Sat";TRUE;"no";12,915;15,78185;65,375;13,208782;"categ2";1354
"79";2011-04-03;"spring";2011;"Apr";"Sun";TRUE;"no";15,511653;18,93835;48;12,208271;"categ1";1598
"80";2011-04-04;"spring";2011;"Apr";"Mon";FALSE;"no";23,506653;27,14645;42,625;25,833257;"categ1";2381
"81";2011-04-05;"spring";2011;"Apr";"Tue";FALSE;"no";16,980847;19,9175;64,2083;26,000489;"categ2";1628
"82";2011-04-07;"spring";2011;"Apr";"Thu";FALSE;"no";17,9375;21,6848;60,2917;10,874904;"categ1";2570
"83";2011-04-08;"spring";2011;"Apr";"Fri";FALSE;"no";13,769153;16,22395;83,625;15,208464;"categ2";1299
"84";2011-04-09;"spring";2011;"Apr";"Sat";TRUE;"no";14,0425;17,07645;87,75;8,916561;"categ2";1576
"85";2011-04-10;"spring";2011;"Apr";"Sun";TRUE;"no";17,493347;21,33685;85,75;9,833389;"categ2";1707
"86";2011-04-11;"spring";2011;"Apr";"Mon";FALSE;"no";24,421732;28,26085;71,6956;21,739758;"categ2";2493
"87";2011-04-12;"spring";2011;"Apr";"Tue";FALSE;"no";20,6025;24,6527;73,9167;18,416893;"categ2";1777
"88";2011-04-13;"spring";2011;"Apr";"Wed";FALSE;"no";16,9125;20,86415;81,9167;16,791339;"categ2";1953
"89";2011-04-14;"spring";2011;"Apr";"Thu";FALSE;"no";19,1675;23,1371;54,0417;7,4169;"categ1";2738
"90";2011-04-15;"spring";2011;"Apr";"Fri";FALSE;"yes";18,313347;22,09565;67,125;15,167125;"categ1";2484
"91";2011-04-16;"spring";2011;"Apr";"Sat";TRUE;"no";17,664153;21,2746;88,8333;22,834136;"categ3";674
"92";2011-04-17;"spring";2011;"Apr";"Sun";TRUE;"no";18,723347;22,2848;47,9583;20,334232;"categ1";2186
"93";2011-04-18;"spring";2011;"Apr";"Mon";FALSE;"no";21,0125;25,1573;54,25;10,958989;"categ1";2760
"94";2011-04-19;"spring";2011;"Apr";"Tue";FALSE;"no";20,739153;24,4629;66,5833;10,584057;"categ2";2795
"95";2011-04-20;"spring";2011;"Apr";"Wed";FALSE;"no";24,395;28,2196;61,4167;16,208975;"categ1";3331
"96";2011-04-21;"spring";2011;"Apr";"Thu";FALSE;"no";18,825847;22,6946;40,7083;21,792286;"categ1";3444
"97";2011-04-22;"spring";2011;"Apr";"Fri";FALSE;"no";13,803347;16,0977;72,9583;14,707907;"categ2";1506
"98";2011-04-23;"spring";2011;"Apr";"Sat";TRUE;"no";18,86;22,50605;88,7917;15,458575;"categ2";2574
"99";2011-04-24;"spring";2011;"Apr";"Sun";TRUE;"no";23,848347;27,58815;81,0833;12,875725;"categ2";2481
"100";2011-04-25;"spring";2011;"Apr";"Mon";FALSE;"no";24,873347;28,725;77,6667;12,417311;"categ1";3300
"101";2011-04-26;"spring";2011;"Apr";"Tue";FALSE;"no";25,898347;29,70415;72,9167;21,8755;"categ1";3722
"102";2011-04-27;"spring";2011;"Apr";"Wed";FALSE;"no";25,42;28,7571;83,5417;20,9174;"categ2";3325
"103";2011-04-28;"spring";2011;"Apr";"Thu";FALSE;"no";25,3175;28,94645;70,0833;21,500836;"categ2";3489
"104";2011-04-29;"spring";2011;"Apr";"Fri";FALSE;"no";20,91;24,87315;45,7083;16,084221;"categ1";3717
"105";2011-04-30;"spring";2011;"Apr";"Sat";TRUE;"no";19,3725;23,20105;50,3333;15,750025;"categ1";3347
"106";2011-05-01;"spring";2011;"May";"Sun";TRUE;"no";18,518347;22,4102;76,2083;7,125718;"categ2";2213
"107";2011-05-02;"spring";2011;"May";"Mon";FALSE;"no";22,515847;26,64165;73;12,291418;"categ2";3554
"108";2011-05-03;"spring";2011;"May";"Tue";FALSE;"no";25,283347;29,10395;69,7083;22,958689;"categ2";3848
"109";2011-05-04;"spring";2011;"May";"Wed";FALSE;"no";16,980847;20,2325;73,7083;22,042732;"categ2";2378
"110";2011-05-05;"spring";2011;"May";"Thu";FALSE;"no";18,825847;22,09585;44,4167;19,791264;"categ1";3819
"111";2011-05-06;"spring";2011;"May";"Fri";FALSE;"no";19,645847;23,70585;59;15,292482;"categ1";3714
"112";2011-05-07;"spring";2011;"May";"Sat";TRUE;"no";21,32;25,63105;54,125;10,75015;"categ1";3102
"113";2011-05-08;"spring";2011;"May";"Sun";TRUE;"no";21,661653;25,94665;63,1667;5,0007125;"categ1";2932
"114";2011-05-10;"spring";2011;"May";"Tue";FALSE;"no";21,8325;26,13605;48,9167;7,749957;"categ1";4109
"115";2011-05-11;"spring";2011;"May";"Wed";FALSE;"no";22,2425;26,42;63,2917;8,083014;"categ1";3632
"116";2011-05-12;"spring";2011;"May";"Thu";FALSE;"no";21,935;26,16815;74,75;12,707689;"categ1";4169
"117";2011-05-13;"spring";2011;"May";"Fri";FALSE;"no";21,0125;24,715;86,3333;12,041575;"categ2";3413
"118";2011-05-14;"spring";2011;"May";"Sat";TRUE;"no";21,354153;25,03145;92,25;9,04165;"categ2";2507
"119";2011-05-15;"spring";2011;"May";"Sun";TRUE;"no";23,0625;26,8;86,7083;10,249593;"categ2";2971
"120";2011-05-16;"spring";2011;"May";"Mon";FALSE;"no";23,6775;27,5256;78,7917;8,500357;"categ1";3185
"121";2011-05-17;"spring";2011;"May";"Tue";FALSE;"no";23,028347;26,92645;83,7917;18,582718;"categ2";3445
"122";2011-05-18;"spring";2011;"May";"Wed";FALSE;"no";22,55;26,3579;87;13,499964;"categ2";3319
"123";2011-05-19;"spring";2011;"May";"Thu";FALSE;"no";21,764153;25,5371;82,9583;7,250271;"categ2";3840
"124";2011-05-20;"spring";2011;"May";"Fri";FALSE;"no";22,003347;26,4521;71,9583;8,375871;"categ1";4008
"125";2011-05-21;"spring";2011;"May";"Sat";TRUE;"no";24,7025;28,59875;62,6667;8,08355;"categ1";3547
"126";2011-05-22;"spring";2011;"May";"Sun";TRUE;"no";24,770847;28,725;74,9583;9,916536;"categ1";3084
"127";2011-05-23;"spring";2011;"May";"Mon";FALSE;"no";25,898347;29,5148;81;15,667414;"categ2";3438
"128";2011-05-24;"spring";2011;"May";"Tue";FALSE;"no";27,06;30,24065;74,0833;13,875164;"categ2";3833
"129";2011-06-03;"spring";2011;"Jun";"Fri";FALSE;"no";25,42;29,35665;35,4167;16,959107;"categ1";4414
"130";2011-06-04;"spring";2011;"Jun";"Sat";TRUE;"no";26,035;29,7348;45,625;8,250514;"categ1";3473
"131";2011-06-13;"spring";2011;"Jun";"Mon";FALSE;"no";26,035;30,0827;49,4583;20,45845;"categ1";4157
"132";2011-06-14;"spring";2011;"Jun";"Tue";FALSE;"no";24,770847;29,5773;50,7083;18,041961;"categ1";4164
"133";2011-06-16;"spring";2011;"Jun";"Thu";FALSE;"no";25,761653;29,7673;68,8333;13,833557;"categ2";3222
"134";2011-06-17;"spring";2011;"Jun";"Fri";FALSE;"no";26,615847;30,01915;73,5833;9,582943;"categ1";3981
"135";2011-06-20;"spring";2011;"Jun";"Mon";FALSE;"no";26,035;29,7673;74,625;10,416825;"categ2";3311
"136";2011-08-23;"summer";2011;"Aug";"Tue";FALSE;"no";26,274153;30,30335;45,5417;9,833121;"categ1";4614
"137";2011-08-29;"summer";2011;"Aug";"Mon";FALSE;"no";26,103347;30,3979;55,4583;10,708275;"categ1";3905
"138";2011-08-30;"summer";2011;"Aug";"Tue";FALSE;"no";26,205847;29,7352;54,8333;8,375536;"categ1";4429
"139";2011-09-02;"summer";2011;"Sep";"Fri";FALSE;"no";26,376653;30,2404;72,7083;9,375243;"categ2";3852
"140";2011-09-06;"summer";2011;"Sep";"Tue";FALSE;"no";22,14;25,76;88,6957;23,044181;"categ3";2506
"141";2011-09-07;"summer";2011;"Sep";"Wed";FALSE;"no";24,565847;27,21145;91,7083;6,5003936;"categ3";1878
"142";2011-09-08;"summer";2011;"Sep";"Thu";FALSE;"no";25,990433;27,76805;93,9565;12,914116;"categ3";1689
"143";2011-09-09;"summer";2011;"Sep";"Fri";FALSE;"no";26,65;28,9473;89,7917;8,333393;"categ2";3127
"144";2011-09-10;"summer";2011;"Sep";"Sat";TRUE;"no";27,06;30,3981;75,375;10,291736;"categ1";3595
"145";2011-09-11;"summer";2011;"Sep";"Sun";TRUE;"no";26,786653;30,46145;71,375;7,708618;"categ1";3413
"146";2011-09-12;"summer";2011;"Sep";"Mon";FALSE;"no";26,418268;30,1065;69,2174;5,957171;"categ1";4023
"147";2011-09-13;"summer";2011;"Sep";"Tue";FALSE;"no";26,684153;30,1777;71,25;9,500868;"categ1";4062
"148";2011-09-16;"summer";2011;"Sep";"Fri";FALSE;"no";19,235847;23,07375;59,0417;11,000261;"categ2";4018
"149";2011-09-17;"summer";2011;"Sep";"Sat";TRUE;"no";20,158347;23,9256;71,8333;12,708225;"categ2";3077
"150";2011-09-18;"summer";2011;"Sep";"Sun";TRUE;"no";20,8075;24,52685;69,5;11,958361;"categ1";2921
"151";2011-09-19;"summer";2011;"Sep";"Mon";FALSE;"no";22,515847;26,48375;69;10,166714;"categ2";3848
"152";2011-09-20;"summer";2011;"Sep";"Tue";FALSE;"no";23,028347;26,61085;88,125;9,041918;"categ2";3203
"153";2011-09-21;"summer";2011;"Sep";"Wed";FALSE;"no";24,395;27,52665;90;6,4590814;"categ2";3813
"154";2011-09-22;"summer";2011;"Sep";"Thu";FALSE;"no";25,761653;27,74815;90,2083;8,584375;"categ2";4240
"155";2011-09-23;"fall";2011;"Sep";"Fri";FALSE;"no";24,975847;26,10625;97,25;5,2505689;"categ2";2137
"156";2011-09-24;"fall";2011;"Sep";"Sat";TRUE;"no";24,873347;28,2206;86,25;5,2516811;"categ2";3647
"157";2011-09-25;"fall";2011;"Sep";"Sun";TRUE;"no";26,000847;28,63185;84,5;3,3754064;"categ2";3466
"158";2011-09-26;"fall";2011;"Sep";"Mon";FALSE;"no";26,615847;29,4521;84,8333;7,4169;"categ2";3946
"159";2011-09-27;"fall";2011;"Sep";"Tue";FALSE;"no";26,103347;28,72625;88,5417;7,917457;"categ2";3643
"160";2011-09-28;"fall";2011;"Sep";"Wed";FALSE;"no";26,035;28,7579;84,875;9,958143;"categ2";3427
"161";2011-09-29;"fall";2011;"Sep";"Thu";FALSE;"no";25,283347;28,7256;69,9167;11,583161;"categ1";4186
"162";2011-09-30;"fall";2011;"Sep";"Fri";FALSE;"no";23,130847;27,24145;64,75;13,833825;"categ1";4372
"163";2011-10-01;"fall";2011;"Oct";"Sat";TRUE;"no";16,81;20,64315;75,375;19,583832;"categ2";1949
"164";2011-10-03;"fall";2011;"Oct";"Mon";FALSE;"no";15,750847;19,6023;76,0833;5,5841686;"categ2";3240
"165";2011-10-04;"fall";2011;"Oct";"Tue";FALSE;"no";19,850847;23,6429;71;13,792218;"categ1";3970
"166";2011-10-05;"fall";2011;"Oct";"Wed";FALSE;"no";22,071653;26,3569;64,7917;11,87575;"categ1";4267
